id,date,city,state,type,ideology,subideology,group,description,image
18110,12/31/2020,Lynchburg,VA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda at Liberty University that read: ""Reclaim America,"" ""Not stolen conquered"" and ""America is not for sale.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-03/PF%20Not%20Stolen%20Conquered.jpg
18111,12/31/2020,Lansing,MI,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Reject poison,"" ""To ourselves and our posterity,"" ""Reclaim America"" and ""Not stolen conquered.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2020-11/Patriot%20Front%20--%202020-10-16%20--%20WA%2C%20Marrowstone%20--%20Telegram%20--%20OCT0187.jpg
18112,12/31/2020,Hacklebarney State Park,NJ,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Better dead than red,"" ""United we stand"" and ""America First."" Other propaganda resembled a flag and had an embedded QR code directing users to Patriot Front’s website.",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-06/4.3.2019%20Patriot%20Front%20QR%20code_sample_0.jpg
18113,12/31/2020,College Station,TX,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America is not for sale,"" ""Reject poison"" and ""Better dead than red."" Other propaganda resembled a flag and had an embedded QR code directing users to Patriot Front’s website.",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Reject%20poison_sample.jpg
18114,12/31/2020,Brooklyn Park,MN,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""For the nation against the state,"" ""Reject poison,"" ""United we stand"" and ""Not stolen conquered."" Other propaganda resembled a flag and had an embedded QR code directing users to Patriot Front’s website.",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Reject%20poison_sample.jpg
18115,12/31/2020,Denison,TX,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""One nation against invasion,"" ""Reclaim America"" and ""America is not for sale.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-03/PF%20reclaim%20America.jpg
18116,12/31/2020,Jewett City,CT,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""One nation against invasion,"" ""America is not for sale,"" ""Not stolen conquered"" and ""Life of our nation. Liberty of our people. Victory of the American spirit.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Life%20of%20our%20nation_sample.jpg
18118,12/31/2020,Columbus,OH,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Better dead than red,"" ""For the nation against the state,"" ""America First"" and ""To ourselves and our posterity.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2020-11/Patriot%20Front%20--%202020-10-16%20--%20WA%2C%20Marrowstone%20--%20Telegram%20--%20OCT0187.jpg
18119,12/31/2020,Bolivia,NC,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Reclaim America,"" ""America First,"" ""Better dead than red"" and ""For the nation against the state.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-03/PF%20reclaim%20America.jpg
18120,12/31/2020,Eagle Point,OR,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""United we stand,"" ""Not stolen conquered"" and ""America is not for sale.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-03/PF%20Not%20Stolen%20Conquered.jpg
